Date,AAPL,AIG,AMZN,AVGO,BAC,BRK-B,C,CSCO,CVX,GE,GOOG,GOOGL,IBM,INTC,JNJ,JPM,KO,LLY,META,MO,MRK,MSFT,NVDA,PFE,PG,T,TSLA,TWX,UNH,V,WFC,WMT,XOM
2018-11-20,0.6619816783476032,0.734716375088352,0.6836823237949954,0.6010992108944333,0.7956924726531499,0.6071255321538531,0.8428065293723961,0.7194392817832259,0.82321717975096,0.723831542614383,0.799750379719996,0.799718582997337,0.6165585634117955,0.7060009429657587,0.7438308502988877,0.7511429137751301,0.8070236176574731,0.661737616399574,0.47316632905448536,0.7172895635027589,0.8343755091328067,0.6995129788021472,0.5315902900183503,0.7192442315486073,0.5229721769242889,0.6555137127828129,0.6600317211507584,,0.7281225946442637,0.7235470509983714,0.8198346502789767,0.519237651850807,0.7824563540717243
2018-11-21,0.6729958355927671,0.7291805220249813,0.6863581186137743,0.6030489277037544,0.7956924726531499,0.6211477279880364,0.8502586304902332,0.7278937430903322,0.8311152544545598,0.7129037138691784,0.7978586419392935,0.796786961442472,0.6256059555239057,0.7052970097755478,0.745068498211143,0.7547138031772324,0.8188358026808302,0.6620525817476789,0.4675064311297188,0.7168346406061253,0.8408367923889144,0.7094796759130734,0.5386999099005866,0.7259709567182111,0.5249218834071073,0.6653991983711458,0.6600317211507584,,0.7326057963538363,0.7252525984389009,0.8159284972293909,0.5295407511039323,0.7915207945075672
2018-11-23,0.6729958355927671,0.7333743204929037,0.6863581186137743,0.6030489277037544,0.7956924726531499,0.6211477279880364,0.8468310111976639,0.7312157998836897,0.8290990191670584,0.7129037138691784,0.799750379719996,0.799718582997337,0.6315327393528721,0.7052970097755478,0.75517881632539,0.7547138031772324,0.8253190963548332,0.6695661177269119,0.47316632905448536,0.7196112765403256,0.8408367923889144,0.7092306656194959,0.5431926711649714,0.7259709567182111,0.5249218834071073,0.6653991983711458,0.663666800760401,,0.7326057963538363,0.7252525984389009,0.8034696585395192,0.5295407511039323,0.7848283036808242
2018-11-26,0.6815764816313225,0.7333743204929037,0.688854039242556,0.5974720125947937,0.7980291662723981,0.6262018790507552,0.8468310111976639,0.7312157998836897,0.8290990191670584,0.7172689800555961,0.8011439873547218,0.8019460806667055,0.6348237086736807,0.7044156835790972,0.75517881632539,0.7547138031772324,0.8253190963548332,0.669168175113095,0.47786587300863653,0.7221276188381037,0.8408367923889144,0.7092306656194959,0.5431926711649714,0.7244807544340618,0.5249218834071073,0.6703311939177249,0.6670885891445497,,0.7297774548255891,0.7252525984389009,0.8074701570892525,0.5311916805624669,0.7855968064730289
2018-11-27,0.6857072696583547,0.7313344659629024,0.7011035264131559,0.6030489277037544,0.8133968774078492,0.6306747614605025,0.8697915638052852,0.735784901157738,0.8307387292130907,0.7129037138691784,0.8075596870363775,0.8067662244263575,0.6371487615181634,0.7092975083252809,0.7449783653889522,0.8336812052569499,0.8248627998446677,0.669168175113095,0.48322997179879196,0.7221276188381037,0.8357690800159409,0.7188616028417559,0.549912389317785,0.7244807544340618,0.5229721769242889,0.6758442395755493,0.6745282511266234,,0.7299242854061312,0.7234855943119394,0.8547408036880769,0.5311916805624669,0.7893244546197223
2018-11-28,0.6857072696583547,0.7274135178980199,0.7011035264131559,0.6030489277037544,0.808176458155934,0.6216724240760323,0.8657097424824308,0.7388884434400359,0.8211077919908304,0.7129885353744507,0.8088624133797916,0.8039141222399137,0.6315327393528721,0.7092975083252809,0.7449783653889522,0.8264527927001831,0.8248627998446677,0.669168175113095,0.48322997179879196,0.7221276188381037,0.8335237439646829,0.7188616028417559,0.549912389317785,0.7309560566896796,0.5229721769242889,0.6814926013431855,0.6707946825855862,,0.7388135457900912,0.7250157124354342,0.8489459266876273,0.5217314437875509,0.871339352174969
2018-11-29,0.6965336805745609,0.7313344659629024,0.7119935511670935,0.6030489277037544,0.8152290257925738,0.6258724560827399,0.8743436529740869,0.7465983366320138,0.8293835995461243,0.7260001705987742,0.8148687503026887,0.8058688181953633,0.6376804661499863,0.7100993151533103,0.749944576571013,0.8269894008139195,0.8253190963548332,0.6643301251727003,0.47786587300863653,0.724371700986544,0.836485448601417,0.7274394129503419,0.5563103242712946,0.7377414307874014,0.5125725106855751,0.6809230876290077,0.6673123098548852,,0.7455048818032678,0.7354364228246967,0.855720766402729,0.5242032224284148,0.876217772124061
2018-11-30,0.6951443551011502,0.738061191132506,0.7119935511670935,0.6030489277037544,0.8148044672904934,0.625347759994744,0.8773743571409973,0.7388884434400359,0.8278144749290917,0.7302806152799196,0.807150324277619,0.7981945513251162,0.641107773518116,0.7086953824301706,0.7453611590130281,0.8264527927001831,0.8269588064008654,0.6636991182051911,0.47786587300863653,0.7287494790884224,0.8343303218766049,0.7208162987972057,0.560503564177365,0.7377414307874014,0.514578346449659,0.6814926013431855,0.6632925255491741,,0.7424531505864197,0.7423877290033527,0.8518039040988864,0.5224944626730429,0.876217772124061
2018-12-03,0.6976302663212876,0.7387492174107674,0.7119935511670935,0.6030489277037544,0.8168430356517383,0.625347759994744,0.8773743571409973,0.7417781928723617,0.8222166077659949,0.7367418985360276,0.8052005233035926,0.7981945513251162,0.6466668285899165,0.7134164762853401,0.7453611590130281,0.8276748683340527,0.7745148346839029,0.6686105698538456,0.47786587300863653,0.730799774446837,0.8312650293495017,0.7208162987972057,0.560503564177365,0.7404258815811332,0.5210157303575215,0.6862530257894037,0.6673123098548852,,0.7424531505864197,0.7423877290033527,0.8544937904379983,0.5146851553566615,0.8747598762342719
2018-12-04,0.7073618177381449,0.7392646259779633,0.7158997042166795,0.6030489277037544,0.8152290257925738,0.6258724560827399,0.8743436529740869,0.7444583942802195,0.8250780652054676,0.7476697272812322,0.807150324277619,0.7981945513251162,0.6466668285899165,0.713956220687246,0.7453611590130281,0.8280700865735721,0.7791881478630128,0.6686105698538456,0.47786587300863653,0.7344269727464764,0.8239334514323193,0.7208162987972057,0.5665470778510402,0.7419538614440983,0.5210157303575215,0.6862530257894037,0.6711064627424745,,0.7529445437853415,0.7472257789437474,0.8526020526572958,0.5163051477248148,0.8790861012968728
