Date,Top 10 tickers,Top 10 raw tickers,Top 10 count
2003-04-30,"GE, MSFT, WMT, PFE, XOM, C, JNJ, AIG, IBM, MRK","GE, MSFT, WMT, PFE, XOM, C, JNJ, AIG, IBM, MRK",10
2003-05-31,"GE, MSFT, PFE, XOM, WMT, C, JNJ, IBM, AIG, INTC","GE, MSFT, PFE, XOM, WMT, C, JNJ, IBM, AIG, INTC",10
2003-06-30,"GE, MSFT, PFE, XOM, WMT, C, JNJ, AIG, IBM, INTC","GE, MSFT, PFE, XOM, WMT, C, JNJ, AIG, IBM, INTC",10
2003-07-31,"GE, MSFT, PFE, WMT, XOM, C, AIG, INTC, JNJ, IBM","GE, MSFT, PFE, WMT, XOM, C, AIG, INTC, JNJ, IBM",10
2003-08-31,"GE, MSFT, WMT, XOM, PFE, C, INTC, AIG, JNJ, IBM","GE, MSFT, WMT, XOM, PFE, C, INTC, AIG, JNJ, IBM",10
2003-09-30,"MSFT, GE, WMT, XOM, PFE, C, INTC, IBM, AIG, JNJ","MSFT, GE, WMT, XOM, PFE, C, INTC, IBM, AIG, JNJ",10
2003-10-31,"GE, MSFT, WMT, PFE, C, XOM, INTC, AIG, IBM, JNJ","GE, MSFT, WMT, PFE, C, XOM, INTC, AIG, IBM, JNJ",10
2003-11-30,"GE, MSFT, PFE, WMT, C, XOM, INTC, CSCO, IBM, AIG","GE, MSFT, PFE, WMT, C, XOM, INTC, CSCO, IBM, AIG",10
2003-12-31,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, CSCO, IBM","GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, CSCO, IBM",10
2004-01-31,"GE, MSFT, PFE, C, XOM, WMT, INTC, AIG, CSCO, IBM","GE, MSFT, PFE, C, XOM, WMT, INTC, AIG, CSCO, IBM",10
2004-02-29,"GE, MSFT, PFE, XOM, C, WMT, AIG, INTC, IBM, JNJ","GE, MSFT, PFE, XOM, C, WMT, AIG, INTC, IBM, JNJ",10
2004-03-31,"GE, XOM, MSFT, C, PFE, WMT, AIG, INTC, CSCO, IBM","GE, XOM, MSFT, C, PFE, WMT, AIG, INTC, CSCO, IBM",10
2004-04-30,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, BAC, JNJ","GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, BAC, JNJ",10
2004-05-31,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, BAC, JNJ","GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, BAC, JNJ",10
2004-06-30,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, BAC, JNJ","GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, BAC, JNJ",10
2004-07-31,"GE, MSFT, XOM, PFE, C, WMT, AIG, BAC, JNJ, INTC","GE, MSFT, XOM, PFE, C, WMT, AIG, BAC, JNJ, INTC",10
2004-08-31,"GE, XOM, MSFT, PFE, C, WMT, AIG, BAC, JNJ, PG","GE, XOM, MSFT, PFE, C, WMT, AIG, BAC, JNJ, PG",10
2004-09-30,"GE, XOM, MSFT, PFE, C, WMT, AIG, BAC, JNJ, IBM","GE, XOM, MSFT, PFE, C, WMT, AIG, BAC, JNJ, IBM",10
2004-10-31,"GE, XOM, MSFT, C, WMT, PFE, BAC, JNJ, AIG, IBM","GE, XOM, MSFT, C, WMT, PFE, BAC, JNJ, AIG, IBM",10
2004-11-30,"GE, XOM, MSFT, C, WMT, PFE, BAC, JNJ, AIG, IBM","GE, XOM, MSFT, C, WMT, PFE, BAC, JNJ, AIG, IBM",10
2004-12-31,"GE, XOM, MSFT, C, WMT, PFE, BAC, JNJ, AIG, IBM","GE, XOM, MSFT, C, WMT, PFE, BAC, JNJ, AIG, IBM",10
2005-01-31,"GE, XOM, MSFT, C, WMT, JNJ, BAC, PFE, AIG, IBM","GE, XOM, MSFT, C, WMT, JNJ, BAC, PFE, AIG, IBM",10
2005-02-28,"XOM, GE, MSFT, C, WMT, PFE, JNJ, BAC, AIG, IBM","XOM, GE, MSFT, C, WMT, PFE, JNJ, BAC, AIG, IBM",10
2005-03-31,"GE, XOM, MSFT, C, WMT, JNJ, PFE, BAC, IBM, INTC","GE, XOM, MSFT, C, WMT, JNJ, PFE, BAC, IBM, INTC",10
2005-04-30,"GE, XOM, MSFT, C, JNJ, PFE, WMT, BAC, INTC, PG","GE, XOM, MSFT, C, JNJ, PFE, WMT, BAC, INTC, PG",10
2005-05-31,"GE, XOM, MSFT, C, PFE, JNJ, WMT, BAC, INTC, AIG","GE, XOM, MSFT, C, PFE, JNJ, WMT, BAC, INTC, AIG",10
2005-06-30,"GE, XOM, MSFT, C, PFE, WMT, JNJ, BAC, INTC, AIG","GE, XOM, MSFT, C, PFE, WMT, JNJ, BAC, INTC, AIG",10
2005-07-31,"XOM, GE, MSFT, C, WMT, PFE, JNJ, BAC, INTC, AIG","XOM, GE, MSFT, C, WMT, PFE, JNJ, BAC, INTC, AIG",10
2005-08-31,"XOM, GE, MSFT, C, JNJ, PFE, WMT, BAC, INTC, AIG","XOM, GE, MSFT, C, JNJ, PFE, WMT, BAC, INTC, AIG",10
2005-09-30,"XOM, GE, MSFT, C, JNJ, PFE, WMT, BAC, AIG, MO","XOM, GE, MSFT, C, JNJ, PFE, WMT, BAC, AIG, MO",10
2005-10-31,"GE, XOM, MSFT, C, WMT, PG, JNJ, BAC, AIG, PFE","GE, XOM, MSFT, C, WMT, PG, JNJ, BAC, AIG, PFE",10
2005-11-30,"GE, XOM, MSFT, C, WMT, PG, BAC, JNJ, AIG, INTC","GE, XOM, MSFT, C, WMT, PG, BAC, JNJ, AIG, INTC",10
2005-12-31,"GE, XOM, MSFT, C, PG, WMT, BAC, JNJ, AIG, PFE","GE, XOM, MSFT, C, PG, WMT, BAC, JNJ, AIG, PFE",10
2006-01-31,"XOM, GE, MSFT, C, BAC, PG, WMT, PFE, JNJ, AIG","XOM, GE, MSFT, C, BAC, PG, WMT, PFE, JNJ, AIG",10
2006-02-28,"XOM, GE, MSFT, C, BAC, PG, PFE, WMT, AIG, JNJ","XOM, GE, MSFT, C, BAC, PG, PFE, WMT, AIG, JNJ",10
2006-03-31,"XOM, GE, MSFT, C, BAC, WMT, PG, PFE, JNJ, AIG","XOM, GE, MSFT, C, BAC, WMT, PG, PFE, JNJ, AIG",10
